Track Name;Album Name;Artist Name(s);Release Date;Duration (ms);Popularity;Explicit;Added By;Added At;Genres;Record Label;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;genres_clean;text_combined;
pikiran dan perjalanan kusuma version;PQ-Race dan Perjalanan;barasuara;;;;;;;;;0.6239669421487604;0.6795987306786775;0.7633687891592599;0.045729166666666675;0.18994572696672482;0.0;0.12196122679249154;0.49037487335359675;0.561837669152681;; barasuara;
pikiran dan perjalanan marco steffiano remix;PQ-Race dan Perjalanan;barasuara;;;;;;;;;0.6239669421487604;0.6795987306786775;0.7633687891592599;0.045729166666666675;0.18994572696672482;0.0;0.12196122679249154;0.49037487335359675;0.561837669152681;; barasuara;
pikiran dan perjalanan gerald situmorang version;PQ-Race dan Perjalanan;barasuara;;;;;;;;;0.6239669421487604;0.6795987306786775;0.7633687891592599;0.045729166666666675;0.18994572696672482;0.0;0.12196122679249154;0.49037487335359675;0.561837669152681;; barasuara;
pikiran dan perjalanan puti chitara version;PQ-Race dan Perjalanan;barasuara;;;;;;;;;0.6239669421487604;0.6795987306786775;0.7633687891592599;0.045729166666666675;0.18994572696672482;0.0;0.12196122679249154;0.49037487335359675;0.561837669152681;; barasuara;
pikiran dan perjalanan asteriska version;PQ-Race dan Perjalanan;barasuara;;;;;;;;;0.6239669421487604;0.6795987306786775;0.7633687891592599;0.045729166666666675;0.18994572696672482;0.0;0.12196122679249154;0.49037487335359675;0.561837669152681;; barasuara;
pikiran dan perjalanan iga massardi version;PQ-Race dan Perjalanan;barasuara;;;;;;;;;0.6239669421487604;0.6795987306786775;0.7633687891592599;0.045729166666666675;0.18994572696672482;0.0;0.12196122679249154;0.49037487335359675;0.561837669152681;; barasuara;
semua sini;ambiVert;raisa;24/06/2025;280051.0;47.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:57Z;indonesian pop indonesian indonesian jazz;Juni Records;0.38223140495867775;0.3080151499641724;0.6023969109718782;0.03833333333333334;0.9306529220356129;0.012626262626262628;0.09836906349369166;0.3262411347517731;0.3164745655666905;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa;
berpindah hati;ambiVert;raisa;24/06/2025;233530.0;50.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:57Z;indonesian pop indonesian indonesian jazz;Juni Records;0.30371900826446285;0.36636298495240044;0.5821069503132741;0.03145833333333334;0.828139850262171;0.04070707070707071;0.09016309365063084;0.1590678824721378;0.33290455005619074;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa;
pengganti aku;ambiVert;raisa;24/06/2025;238102.0;56.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:57Z;indonesian pop indonesian indonesian jazz;Juni Records;0.6332644628099174;0.5096734568533114;0.6537957161591141;0.033125;0.7738682240291724;0.024444444444444446;0.08800902656682737;0.5785207700101317;0.4550567015575514;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa;
bila;ambiVert;raisa;24/06/2025;256834.0;61.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:57Z;indonesian pop indonesian indonesian jazz;Juni Records;0.2913223140495868;0.33667724434435453;0.6118679877604547;0.03958333333333334;0.9417082533052977;0.00017171717171717173;0.07405887783362396;0.22188449848024316;0.8051528295052429;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa;
